neighborhood,avg_bedrooms,avg_bathrooms,avg_rooms,house_age,has_garage,has_pool,median_income,population,avg_occupancy,latitude,longitude,price,region
Palo Alto,3,2.5,27.44,5,1,0,15.0,3342,3.7,34.7019,-83.4591,1782793,California
Portland Pearl,4,1.5,21.8,52,1,1,6.92,4171,3.6,29.7123,-89.7052,242095,Oregon
Miami Beach,2,2.0,10.326666666666666,15,1,0,8.92,4143,2.3,35.3398,-76.4179,312074,Florida
Chicago North,3,3.0,27.846666666666668,8,1,0,9.12,4462,4.5,34.4833,-105.3013,319264,Illinois
Chicago North,3,2.5,26.82,62,1,0,9.33,3682,6.4,39.3441,-89.2458,326664,Illinois
Nashville Hills,4,1.0,26.726666666666667,35,1,0,8.82,2217,1.9,45.9443,-93.7477,308526,Tennessee
Palo Alto,5,2.5,28.02,69,1,0,15.0,3015,4.7,30.4562,-81.9466,998878,California
San Diego Coastal,4,2.0,18.186666666666667,70,1,0,4.53,3751,3.4,27.2206,-106.8866,158601,California
Denver Park,4,3.0,30.62,10,1,0,15.0,1833,3.2,41.4519,-92.0281,631739,Colorado
Palo Alto,4,2.5,32.32,62,1,1,15.0,4993,4.1,25.009,-95.252,1616668,California
Seattle Eastside,4,1.0,22.373333333333335,27,0,1,9.96,2497,4.1,43.2759,-122.6029,348708,Washington
Austin Downtown,3,2.0,17.926666666666666,57,1,1,5.15,3907,4.3,41.7414,-123.1297,180230,Texas
Portland Pearl,2,2.0,24.613333333333333,4,1,1,7.77,2777,2.3,43.9935,-75.3348,272026,Oregon
Portland Pearl,4,2.5,22.573333333333334,38,1,1,3.65,4805,5.6,27.0844,-89.7581,127767,Oregon
San Diego Coastal,4,2.0,33.333333333333336,51,1,1,5.85,3504,4.1,29.6853,-91.2779,204875,California
Portland Pearl,3,2.5,21.413333333333334,36,0,0,8.06,3814,4.9,37.688,-84.1294,282255,Oregon
Seattle Eastside,5,2.0,27.933333333333334,45,0,0,12.33,3985,5.8,32.5279,-124.1389,431441,Washington
Palo Alto,4,2.0,26.24,1,1,1,15.0,1984,1.1,44.4541,-112.2358,1942379,California
